chamber,congress,year,score,value
House,106,1999,dem.mean.d2,0.044201878
House,107,2001,dem.mean.d2,0.039775701
House,108,2003,dem.mean.d2,0.047629808
House,109,2005,dem.mean.d2,0.030975369
House,110,2007,dem.mean.d2,0.04468595
House,111,2009,dem.mean.d2,0.038874525
House,112,2011,dem.mean.d2,-0.032965
House,113,2013,dem.mean.d2,-0.071093137
House,114,2015,dem.mean.d2,-0.077957895
Senate,97,1981,dem.mean.d2,0.260782609
Senate,98,1983,dem.mean.d2,0.246695652
Senate,99,1985,dem.mean.d2,0.215297872
Senate,100,1987,dem.mean.d2,0.200272727
Senate,101,1989,dem.mean.d2,0.123285714
Senate,102,1991,dem.mean.d2,0.106034483
Senate,103,1993,dem.mean.d2,0.074210526
Senate,104,1995,dem.mean.d2,0.008604167
Senate,105,1997,dem.mean.d2,-0.049511111
Senate,106,1999,dem.mean.d2,-0.062826087
Senate,107,2001,dem.mean.d2,-0.0417
Senate,108,2003,dem.mean.d2,-0.041083333
Senate,109,2005,dem.mean.d2,-0.098933333
Senate,110,2007,dem.mean.d2,-0.08592
Senate,111,2009,dem.mean.d2,-0.072424242
Senate,112,2011,dem.mean.d2,-0.071811321
Senate,113,2013,dem.mean.d2,-0.078894737
Senate,114,2015,dem.mean.d2,-0.127181818
House,97,1981,rep.mean.d1,0.30644898
House,98,1983,rep.mean.d1,0.325586826
House,99,1985,rep.mean.d1,0.333703297
House,100,1987,rep.mean.d1,0.335340782
House,101,1989,rep.mean.d1,0.339644444
House,102,1991,rep.mean.d1,0.344735294
House,103,1993,rep.mean.d1,0.371077778
House,104,1995,rep.mean.d1,0.397021186
House,105,1997,rep.mean.d1,0.401861472
House,106,1999,rep.mean.d1,0.404422222
House,107,2001,rep.mean.d1,0.409964912
House,108,2003,rep.mean.d1,0.416848485
House,109,2005,rep.mean.d1,0.422804255
House,110,2007,rep.mean.d1,0.439703883
House,111,2009,rep.mean.d1,0.456311475
House,112,2011,rep.mean.d1,0.468318367
House,113,2013,rep.mean.d1,0.483066667
House,114,2015,rep.mean.d1,0.481840637
Senate,97,1981,rep.mean.d1,0.310240741
Senate,98,1983,rep.mean.d1,0.307072727
Senate,99,1985,rep.mean.d1,0.313851852
Senate,100,1987,rep.mean.d1,0.313695652
Senate,101,1989,rep.mean.d1,0.322652174
Senate,102,1991,rep.mean.d1,0.319431818
Senate,103,1993,rep.mean.d1,0.337355556
Senate,104,1995,rep.mean.d1,0.350545455
Senate,105,1997,rep.mean.d1,0.373
Senate,106,1999,rep.mean.d1,0.363267857
Senate,107,2001,rep.mean.d1,0.36814
Senate,108,2003,rep.mean.d1,0.358215686
Senate,109,2005,rep.mean.d1,0.3784
Senate,110,2007,rep.mean.d1,0.392039216
Senate,111,2009,rep.mean.d1,0.399045455
Senate,112,2011,rep.mean.d1,0.4439375
Senate,113,2013,rep.mean.d1,0.47123913
Senate,114,2015,rep.mean.d1,0.480314815
House,97,1981,rep.mean.d2,-0.198811224
House,98,1983,rep.mean.d2,-0.206778443
House,99,1985,rep.mean.d2,-0.212434066
House,100,1987,rep.mean.d2,-0.233167598
House,101,1989,rep.mean.d2,-0.248122222
House,102,1991,rep.mean.d2,-0.229252941
House,103,1993,rep.mean.d2,-0.182133333
House,104,1995,rep.mean.d2,-0.118135593
House,105,1997,rep.mean.d2,-0.073809524
House,106,1999,rep.mean.d2,-0.056777778
House,107,2001,rep.mean.d2,-0.028833333
House,108,2003,rep.mean.d2,-0.010307359
House,109,2005,rep.mean.d2,-0.002378723
House,110,2007,rep.mean.d2,0.026873786
House,111,2009,rep.mean.d2,0.029601093
House,112,2011,rep.mean.d2,0.033310204
House,113,2013,rep.mean.d2,0.043229167
House,114,2015,rep.mean.d2,0.041812749
Senate,97,1981,rep.mean.d2,-0.317351852
Senate,98,1983,rep.mean.d2,-0.303490909
Senate,99,1985,rep.mean.d2,-0.284944444
Senate,100,1987,rep.mean.d2,-0.334543478
Senate,101,1989,rep.mean.d2,-0.301891304
Senate,102,1991,rep.mean.d2,-0.306704545
Senate,103,1993,rep.mean.d2,-0.267977778
Senate,104,1995,rep.mean.d2,-0.233254545
Senate,105,1997,rep.mean.d2,-0.179254545
Senate,106,1999,rep.mean.d2,-0.220232143
Senate,107,2001,rep.mean.d2,-0.19692
Senate,108,2003,rep.mean.d2,-0.187686275
Senate,109,2005,rep.mean.d2,-0.164690909
Senate,110,2007,rep.mean.d2,-0.141196078
Senate,111,2009,rep.mean.d2,-0.11425
Senate,112,2011,rep.mean.d2,-0.085020833
Senate,113,2013,rep.mean.d2,-0.040804348
Senate,114,2015,rep.mean.d2,-0.052759259
